account_id,parent_account_id,account_name,geo,company_type,tier,billing_country
ACC087,,ManufactureTech Associates,North America,Enterprise,Tier 1,Canada
ACC088,ACC038,PharmaTech GmbH,North America,SMB,Tier 3,USA
ACC089,,ManufactureTech AG,Europe,SMB,Tier 2,Netherlands
ACC090,,RetailOps Solutions,North America,Mid-Market,Tier 1,USA
ACC091,,UtilityMetrics Technologies,North America,SMB,Tier 3,USA
ACC092,,DataFlow GmbH,Europe,Enterprise,Tier 1,Sweden
ACC093,,DataFlow Co,Europe,SMB,Tier 3,Sweden
ACC094,,CourseFlow Limited,Europe,Mid-Market,Tier 1,UK
ACC095,,eLearning Pro Inc,Europe,SMB,Tier 3,France
ACC096,,MediaOps Solutions,Europe,Enterprise,Tier 1,Ireland
ACC097,,MediCare Analytics Co,Europe,SMB,Tier 3,Switzerland
ACC098,,PublisherTech Limited,North America,SMB,Tier 3,Mexico
ACC099,,NewsFlow Systems Associates,Asia Pacific,SMB,Tier 2,New Zealand
ACC100,,AppMakers Corporation,Europe,Mid-Market,Tier 2,Switzerland
ACC101,ACC019,LearningMetrics Group,North America,Mid-Market,Tier 2,USA
ACC102,ACC001,ContentStream Limited,North America,SMB,Tier 3,Mexico
ACC103,,ProductionHub Inc,Asia Pacific,Mid-Market,Tier 1,New Zealand
ACC104,,PharmaTech Corp,Europe,SMB,Tier 2,UK
ACC105,ACC047,ManufactureTech Partners,North America,Mid-Market,Tier 1,Mexico
ACC106,ACC018,CodeCraft AG,Asia Pacific,Mid-Market,Tier 2,Japan
ACC107,,CodeCraft Corporation,Europe,SMB,Tier 3,Switzerland
ACC108,,AssetTrack Corporation,North America,SMB,Tier 3,USA
ACC109,,FinanceHub Group,North America,Enterprise,Tier 1,Mexico
ACC110,,eLearning Pro Associates,North America,SMB,Tier 3,USA
ACC111,ACC018,POS Systems Pro Inc,Asia Pacific,Enterprise,Tier 1,Australia
ACC112,,FactoryFlow Corporation,North America,Mid-Market,Tier 2,USA
ACC113,,StoreFront Solutions Inc,North America,SMB,Tier 2,Canada
ACC114,,SchoolOps Technologies,Europe,Enterprise,Tier 1,Netherlands
ACC115,,NetCore Inc,Europe,SMB,Tier 3,France
ACC116,,ByteWorks Limited,North America,Mid-Market,Tier 2,USA
ACC117,,MakerSpace Co,Europe,Mid-Market,Tier 2,Spain
ACC118,,ContentStream Corporation,North America,Mid-Market,Tier 2,Mexico
ACC119,,ContentStream LLC,North America,Mid-Market,Tier 2,USA
ACC120,,AssemblyLine Analytics Associates,North America,Mid-Market,Tier 2,Mexico
ACC121,,FinanceHub Technologies,North America,Mid-Market,Tier 2,Canada
ACC122,,StoreFront Solutions LLC,Europe,Mid-Market,Tier 2,Netherlands
ACC123,ACC022,QualityTrack Systems Group,Europe,Enterprise,Tier 1,UK
ACC124,,AudienceTrack Inc,Europe,SMB,Tier 2,Switzerland
ACC125,ACC075,MediaOps AG,North America,Enterprise,Tier 1,Mexico
ACC126,,EnergyTrack Partners,Europe,Enterprise,Tier 1,Sweden
ACC127,,Digital Forge Solutions,Europe,SMB,Tier 2,Netherlands
ACC128,ACC081,AudienceTrack Corporation,North America,Mid-Market,Tier 1,Canada
ACC129,ACC062,TeacherTech Corp,North America,SMB,Tier 3,Canada
ACC130,,Campus Analytics Technologies,North America,SMB,Tier 3,USA
ACC131,,PowerOps Technologies,North America,Mid-Market,Tier 1,Canada
ACC132,,ProductionMetrics Technologies,North America,Mid-Market,Tier 2,Mexico
ACC133,,TeacherTech Partners,North America,Mid-Market,Tier 1,USA
ACC134,,ProductionHub GmbH,Europe,Mid-Market,Tier 1,Netherlands
ACC135,,EnergyFlow Systems Technologies,North America,Mid-Market,Tier 1,Mexico
ACC136,ACC037,DevOps Solutions Limited,North America,Mid-Market,Tier 1,Mexico
ACC137,,RenewableData Corp,Europe,SMB,Tier 3,Switzerland
ACC138,,SolarMetrics Solutions,Asia Pacific,Enterprise,Tier 1,India
ACC139,,Campus Analytics AG,Asia Pacific,SMB,Tier 3,South Korea
ACC140,,ClinicalData Systems GmbH,Europe,Mid-Market,Tier 2,France
ACC141,,CreditLine Systems GmbH,Europe,Mid-Market,Tier 2,UK
ACC142,,FinanceHub Associates,North America,Mid-Market,Tier 1,Mexico
ACC143,,Campus Analytics Partners,North America,Mid-Market,Tier 1,USA
ACC144,,DigitalMedia Hub Systems,Europe,Mid-Market,Tier 2,Spain
ACC145,,DataFlow Co,North America,Mid-Market,Tier 2,USA
ACC146,,E-Commerce Hub Technologies,North America,SMB,Tier 3,Canada
ACC147,,SolarMetrics LLC,North America,Mid-Market,Tier 2,Canada
ACC148,,POS Systems Pro Limited,North America,SMB,Tier 2,Canada
ACC149,,RenewableData Associates,Europe,Mid-Market,Tier 1,Switzerland
ACC150,,MakerSpace Partners,Europe,Mid-Market,Tier 1,UK
